year,sex,rank,name,size,perc,total_size,total_perc
1998,M,11,Nicholas,419,1.0,5699,14.0
1991,F,8,Stephanie,418,1.1,4820,12.3
1991,M,23,John,418,1.0,13719,33.5
2004,M,4,Alexander,417,1.0,1893,4.5
1999,M,11,David,417,1.0,5365,13.1
1994,M,18,James,417,1.1,10095,25.5
1989,F,7,Jennifer,417,1.1,4508,12.2
1988,M,18,John,417,1.1,11462,30.8
2010,M,1,Jacob,416,0.9,416,0.9
1997,F,6,Madison,415,1.1,2811,7.4
1996,F,5,Samantha,415,1.1,2288,6.0
1996,M,15,Zachary,415,1.0,7902,19.8
1995,F,6,Sarah,415,1.1,2797,7.4
1994,F,6,Taylor,415,1.1,3110,8.2
1998,F,4,Samantha,414,1.1,1941,5.0
1997,M,17,Zachary,414,1.0,8502,21.2
1982,M,19,Jeffrey,413,1.2,12556,35.3
1981,F,7,Stephanie,413,1.2,4566,13.4
